minute_of_day,sex,age_group,tier_code,tier_label,weighted_minutes,share
0,male,15-24,01,Personal care (incl. sleep),98924756870,0.822957
0,male,15-24,05,Work and work-related activities,1162434566,0.00967
0,male,15-24,06,Education,568422606,0.004729
0,male,15-24,07,Consumer purchases,13045051,0.000109
0,male,15-24,11,Eating and drinking,499351891,0.004154
0,male,15-24,12,"Socializing, relaxing, and leisure",15498800109,0.128935
0,male,15-24,16,Telephone calls,1595006725,0.013269
0,male,15-24,18,Traveling,1944647265,0.016178
0,male,25-34,01,Personal care (incl. sleep),101659150603,0.83719
0,male,25-34,02,Household activities,1013086155,0.008343
0,male,25-34,03,Caring for and helping household members,137808796,0.001135
0,male,25-34,05,Work and work-related activities,966619286,0.00796
0,male,25-34,06,Education,189005886,0.001557
0,male,25-34,11,Eating and drinking,140060198,0.001153
0,male,25-34,12,"Socializing, relaxing, and leisure",15519132713,0.127804
0,male,25-34,13,"Sports, exercise, and recreation",313935543,0.002585
0,male,25-34,14,Religious and spiritual activities,257488600,0.00212
0,male,25-34,16,Telephone calls,326897940,0.002692
0,male,25-34,18,Traveling,864052179,0.007116
0,male,25-34,50,Insufficient detail,41720826,0.000344
0,male,35-44,01,Personal care (incl. sleep),104770230197,0.869315
0,male,35-44,02,Household activities,670622262,0.005564
0,male,35-44,03,Caring for and helping household members,452716926,0.003756
0,male,35-44,05,Work and work-related activities,2412980142,0.020021
0,male,35-44,06,Education,319341773,0.00265
0,male,35-44,11,Eating and drinking,403522885,0.003348
0,male,35-44,12,"Socializing, relaxing, and leisure",11156080751,0.092566
0,male,35-44,18,Traveling,265313569,0.002201
0,male,35-44,50,Insufficient detail,69641118,0.000578
0,male,45-54,01,Personal care (incl. sleep),95782501910,0.879267
0,male,45-54,02,Household activities,802284452,0.007365
0,male,45-54,05,Work and work-related activities,3294304805,0.030241
0,male,45-54,11,Eating and drinking,679688289,0.006239
0,male,45-54,12,"Socializing, relaxing, and leisure",7565388671,0.069449
0,male,45-54,14,Religious and spiritual activities,219654959,0.002016
0,male,45-54,15,Volunteer activities,117362890,0.001077
0,male,45-54,16,Telephone calls,304587994,0.002796
0,male,45-54,18,Traveling,168717933,0.001549
0,male,55-64,01,Personal care (incl. sleep),96533147424,0.872092
0,male,55-64,02,Household activities,1063944447,0.009612
0,male,55-64,05,Work and work-related activities,2966643688,0.026801
0,male,55-64,07,Consumer purchases,80747137,0.000729
0,male,55-64,11,Eating and drinking,776045815,0.007011
0,male,55-64,12,"Socializing, relaxing, and leisure",7809084281,0.070548
0,male,55-64,13,"Sports, exercise, and recreation",164332505,0.001485
0,male,55-64,18,Traveling,679414024,0.006138
0,male,55-64,50,Insufficient detail,618098918,0.005584
0,male,65+,01,Personal care (incl. sleep),137712782215,0.92153
0,male,65+,02,Household activities,990314763,0.006627
0,male,65+,03,Caring for and helping household members,67300221,0.00045
0,male,65+,05,Work and work-related activities,119921860,0.000802
0,male,65+,11,Eating and drinking,695423048,0.004654
0,male,65+,12,"Socializing, relaxing, and leisure",8886759897,0.059467
0,male,65+,13,"Sports, exercise, and recreation",528912346,0.003539
0,male,65+,14,Religious and spiritual activities,192215586,0.001286
0,male,65+,18,Traveling,245648396,0.001644
0,female,15-24,01,Personal care (incl. sleep),98540504708,0.838081
0,female,15-24,02,Household activities,90582589,0.00077
0,female,15-24,03,Caring for and helping household members,333457462,0.002836
0,female,15-24,05,Work and work-related activities,272797539,0.00232
0,female,15-24,06,Education,1579143242,0.013431
0,female,15-24,11,Eating and drinking,541122490,0.004602
0,female,15-24,12,"Socializing, relaxing, and leisure",12368232624,0.105191
0,female,15-24,16,Telephone calls,1949608932,0.016581
0,female,15-24,18,Traveling,1903355979,0.016188
0,female,25-34,01,Personal care (incl. sleep),109684874780,0.89557
0,female,25-34,02,Household activities,537538343,0.004389
0,female,25-34,03,Caring for and helping household members,863037722,0.007047
0,female,25-34,05,Work and work-related activities,782633986,0.00639
